product_id,product_title,variant_id,variant_title,product_status,product_category,currency_code,existing_prices,suggested_amount,action
prod_01KVMKJ3951RGTQFDSA1F2Q30Z,Test Organic Honey,variant_01KVMKJ3FGBYCJ3BSJWPV4CWB7,Standard,published,test,usd,1499cad,,SKIP
prod_01KVMXSVV2MQJZ4RGRFKJ2QRRB,Audit Test Product mqnomg5v82uo,variant_01KVMXSVWDHBKSDJZYZ9EHT4BR,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMXSVYWX6TZ4TYYVZ4QTT9H,Audit Test Product 2 mqnomg9ca8cy,variant_01KVMXSVZ9ZVFQGG7PBE2N3THN,Standard,published,test,usd,2999cad,,SKIP
prod_01KVMXVEKDRHZAK6BE1283RC6X,Audit Test Product mqnonk9qmk45,variant_01KVMXVEM25NG59DC116AV6DXK,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMXVENQX4E26B688BTMVXRA,Audit Test Product 2 mqnonkbwsjq0,variant_01KVMXVEP81YCE2Y1MZX49M5M8,Standard,published,test,usd,2999cad,,SKIP
prod_01KVMXY7FF1D3Q0Z9DP55YE4Q2,Audit Test Product mqnopihsgq1s,variant_01KVMXY7GGFPBFXZF1ZGTTKHVW,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMXY7JQWG9GKXQ0FVJXV162,Audit Test Product 2 mqnopikuj9ea,variant_01KVMXY7K3W3M5H6ZVWT6H8Q9E,Standard,published,test,usd,2999cad,,SKIP
prod_01KVMY07ACZKKM7Z9HZECBJDR4,Audit Test Product mqnoqwxr36fh,variant_01KVMY07B80Q6XZE981QY1BDRE,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMY07DCKF71HCY8P68QXYHY,Audit Test Product 2 mqnoqx0i97dr,variant_01KVMY07DVT34AGYX8VVET8NSD,Standard,published,test,usd,2999cad,,SKIP
prod_01KVMY1SDVZGHHZD071ADJX2CB,Audit Test Product mqnos0izqqe5,variant_01KVMY1SET7G8MHE75B63NN560,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMY1SGXV49GMNKFNB35T713,Audit Test Product 2 mqnos0lumnu4,variant_01KVMY1SHAB1108MZT8RVQN481,Standard,published,test,usd,2999cad,,SKIP
prod_01KVMZD6RA9ZERDRXD6K77CYSV,Audit Test Product f275b8c1,variant_01KVMZD705KNMDMF3K04F4C7RN,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMZH80DYPEHBAGWRAH68ASH,Test Product 62c6c1fc,variant_01KVMZH82PVD9AVD9VFB1S49QN,Standard,published,test,usd,1999cad,,SKIP
prod_01KVMZXPRS2NH2BBQVHH9PXECN,Audit Test Product 88b24761,variant_01KVMZXPY2HXVJ5XVCZHEYW67H,Standard,published,test,usd,1999cad,,SKIP
prod_01KVN02PJ0TEWPZ721K4BC6XT7,Final 1782042414,variant_01KVN02PMQNA2VAB5Z7RZ4HW9X,Standard,published,active_standard,usd,1999cad,,SKIP
prod_01KVN0BQ3GQD64A562FYTW3E62,Debug mqnq7xl0f0gw,variant_01KVN0BQDBC897PZTFRQ2P6HDP,Standard,published,active_standard,usd,1999cad,,SKIP
prod_01KVSFB71XDNGFJN01RH3C2G1M,Organic Apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,published,active_standard,usd,499cad,,SKIP
prod_01KVSFB7BAX6R5GFXKKCC4CYHX,Fresh Bananas,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,Standard,published,active_standard,usd,299cad,,SKIP
prod_01KVSFB7DRWS2W3RZ6PEWEJV29,Red Strawberries,variant_01KVSFB7EKARSRMJ14F2T30WPN,Standard,published,active_standard,usd,699cad,,SKIP
prod_01KVSFB7FQRQPT7HHHQTS0D9QA,Green Grapes,variant_01KVSFB7GDJ405F2JQJ8A68700,Standard,published,active_standard,usd,599cad,,SKIP
prod_01KVSFB7HK2723G4QTVR3DBP0S,Sweet Mangoes,variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW,Standard,published,active_standard,usd,799cad,,SKIP
prod_01KVSFB7KH3MAADTC8FXDNB7K9,Organic Carrots,variant_01KVSFB7M7DJ2NQP1MRFC161ZP,Standard,published,active_standard,usd,399cad,,SKIP
prod_01KVSFB7NFW3HA28BEMYCHVFRJ,Fresh Broccoli,variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX,Standard,published,active_standard,usd,449cad,,SKIP
prod_01KVSFB7REXCQRQ06W82C4610V,Green Spinach,variant_01KVSFB7SC8G5X8ZGN2TAPHTPG,Standard,published,active_standard,usd,499cad,,SKIP
prod_01KVSFB7VJMJVD821ZFVYN9FWV,Red Tomatoes,variant_01KVSFB7WSVC6Y3C0E24ZSP890,Standard,published,active_standard,usd,399cad,,SKIP
prod_01KVSFB7Z7ZARK3KPZCNNGCFN8,Organic Potatoes,variant_01KVSFB80MDTP8T8R6Z7GB0CQN,Standard,published,active_standard,usd,549cad,,SKIP
prod_01KVSFB82HYD8N48WG7XQGKWBW,Organic Milk,variant_01KVSFB83K91ZD462YSQSFPK8C,Standard,published,active_standard,usd,649cad,,SKIP
prod_01KVSFB85A4E8Z4E4F7ZX8E2SW,Greek Yogurt,variant_01KVSFB86BTEA7ZEZ2M01STJYG,Standard,published,active_standard,usd,599cad,,SKIP
prod_01KVSFB87RKDRSY8HR988M0Z9K,Cheddar Cheese,variant_01KVSFB88CG0FGKBQTG2KNBZE8,Standard,published,active_standard,usd,799cad,,SKIP
prod_01KVSFB8A3QK5WZV03MTMEAHPD,Fresh Butter,variant_01KVSFB8B6VM0SCQ8NFQZRC239,Standard,published,active_standard,usd,549cad,,SKIP
prod_01KVSFB8CFN04MJA0CDQ8Y3QZX,Paneer Block,variant_01KVSFB8D6X5V3ZFD2N7NXRYY5,Standard,published,active_standard,usd,699cad,,SKIP
prod_01KVSFB8ENFV01KZE8AYE46CJB,Whole Wheat Bread,variant_01KVSFB8FGBH5QYY47W48PZY7B,Standard,published,active_standard,usd,499cad,,SKIP
prod_01KVSFB8GJWSH1JMXG0XPG2F6N,Croissant,variant_01KVSFB8HDHXQHA4PKSS9PQ89A,Standard,published,active_standard,usd,349cad,,SKIP
prod_01KVSFB8JPGQQ7QE235C4QDZX0,Sourdough Loaf,variant_01KVSFB8K8SQ0PERBD5HNEJE6M,Standard,published,active_standard,usd,699cad,,SKIP
prod_01KVSFB8M7AVMZ6888SSSYQE5K,Muffins Pack,variant_01KVSFB8MVTVENGRRVN6V61TQN,Standard,published,active_standard,usd,899cad,,SKIP
prod_01KVSFB8NSZ67XN9G17BJJ1W38,Organic Cookies,variant_01KVSFB8PAKFQGF5B8VM9DCSFJ,Standard,published,active_standard,usd,649cad,,SKIP
prod_01KVSFB8QBJ9M95V6E0DFZWHBV,Chicken Breast,variant_01KVSFB8R0M148Z5PHK7597K2E,Standard,published,active_standard,usd,1299cad,,SKIP
prod_01KVSFB8S2F4YXNV9BAKSNB9M2,Lamb Chops,variant_01KVSFB8STSXDM303M3W7B1C6A,Standard,published,active_standard,usd,1899cad,,SKIP
prod_01KVSFB8V27PTZ08274047AXD9,Turkey Slices,variant_01KVSFB8VPBD68YJKXTHQMNQ8W,Standard,published,active_standard,usd,1099cad,,SKIP
prod_01KVSFB8WPTXN2GCYBZ5XH4RH6,Beef Steak,variant_01KVSFB8X9WW94FBJDVM4J4VFH,Standard,published,active_standard,usd,2299cad,,SKIP
prod_01KVSFB8YFCM952E63E8F4955Z,Chicken Sausages,variant_01KVSFB8Z51WWP1W03QSDBY8N3,Standard,published,active_standard,usd,999cad,,SKIP
prod_01KVSFB913BBP6JV700C09QV5D,Salmon Fillet,variant_01KVSFB92CWGYZ3A6S6EMXP6BE,Standard,published,active_standard,usd,1999cad,,SKIP
prod_01KVSFB94BJ8CSBH3WSE47JY4N,Fresh Prawns,variant_01KVSFB95KV4BKPP4JT3WD2MRP,Standard,published,active_standard,usd,1699cad,,SKIP
