product_id	product_handle	product_title	variant_id	variant_title	current_cad_price	approved_cad_price	current_usd_price	approved_usd_price	approval_status
prod_01KWPZ751172E2TJGVJD9KNTKA	1-st-product-mr6kqn8a	1 st product	variant_01KWPZ751Z4X6NS0CQGPY3YS9N	Digital Download	6000				pending
prod_01KWQ1KPJ353283BZV8W23TE03	2nd-book-mr6m8enl	2nd book	variant_01KWQ1KPM3PSW0M8R6VD1SR9G1	Digital Download	9000				pending
prod_01KWQ1NW3DSVAZ40HWKGZ3G8ZG	3rd-book-mr6m9xlw	3rd book	variant_01KWQ1NW4DCTQZMDVYQJSSJ1PN	Digital Download	1998				pending
prod_01KWHZN4Q2FW2Z78K1SG8SGD4E	abcd-mr3t4j4n	abcd	variant_01KWHZN4S3PZZGADF85XSCYAG4	Digital Download	9897				pending
prod_01KWMDFGBBCVK7DC7K1JZCMTJM	abcdefg-mr55plcv	abcdefg	variant_01KWMDFGDF085SGFC0E8A8CAF4	Digital Download	2900				pending
prod_01KWHV6ZPSQJ28CN6X8T3JE4BA	anaana-mr3qcouf	anaana	variant_01KWHV6ZRNCK5WTHEX10JPM6FZ	Digital Download	196				pending
prod_01KVMXSVYWX6TZ4TYYVZ4QTT9H	audit-test-product-2-mqnomg9ca8cy-mqnomg9m	Audit Test Product 2 mqnomg9ca8cy	variant_01KVMXSVZ9ZVFQGG7PBE2N3THN	Standard	2999				pending
prod_01KVMXVENQX4E26B688BTMVXRA	audit-test-product-2-mqnonkbwsjq0-mqnonkc4	Audit Test Product 2 mqnonkbwsjq0	variant_01KVMXVEP81YCE2Y1MZX49M5M8	Standard	2999				pending
prod_01KVMXY7JQWG9GKXQ0FVJXV162	audit-test-product-2-mqnopikuj9ea-mqnopil0	Audit Test Product 2 mqnopikuj9ea	variant_01KVMXY7K3W3M5H6ZVWT6H8Q9E	Standard	2999				pending
prod_01KVMY07DCKF71HCY8P68QXYHY	audit-test-product-2-mqnoqx0i97dr-mqnoqx0p	Audit Test Product 2 mqnoqx0i97dr	variant_01KVMY07DVT34AGYX8VVET8NSD	Standard	2999				pending
prod_01KVMY1SGXV49GMNKFNB35T713	audit-test-product-2-mqnos0lumnu4-mqnos0m2	Audit Test Product 2 mqnos0lumnu4	variant_01KVMY1SHAB1108MZT8RVQN481	Standard	2999				pending
prod_01KVMZXPRS2NH2BBQVHH9PXECN	audit-test-product-88b24761-mqnpy3gh	Audit Test Product 88b24761	variant_01KVMZXPY2HXVJ5XVCZHEYW67H	Standard	1999				pending
prod_01KVMZD6RA9ZERDRXD6K77CYSV	audit-test-product-f275b8c1-mqnpmi83	Audit Test Product f275b8c1	variant_01KVMZD705KNMDMF3K04F4C7RN	Standard	1999				pending
prod_01KVMXSVV2MQJZ4RGRFKJ2QRRB	audit-test-product-mqnomg5v82uo-mqnomg67	Audit Test Product mqnomg5v82uo	variant_01KVMXSVWDHBKSDJZYZ9EHT4BR	Standard	1999				pending
prod_01KVMXVEKDRHZAK6BE1283RC6X	audit-test-product-mqnonk9qmk45-mqnonka0	Audit Test Product mqnonk9qmk45	variant_01KVMXVEM25NG59DC116AV6DXK	Standard	1999				pending
prod_01KVMXY7FF1D3Q0Z9DP55YE4Q2	audit-test-product-mqnopihsgq1s-mqnopii2	Audit Test Product mqnopihsgq1s	variant_01KVMXY7GGFPBFXZF1ZGTTKHVW	Standard	1999				pending
