duplicate_group,product_id,title,handle,created_at,updated_at,status,sales_channel_membership,variant_count,cad_prices,usd_prices,media_count,metadata_summary,order_line_usage_count,recommended_master_product,master_recommendation_reason,approved_master_product_id,approved_duplicate_action
lyuyhybuyhbb,prod_01KVMCKDHHQQPJZ72BHN5A5ETD,lyuyhybuyhbb,lyuyhybuyhbb-mqndvup6,Sun Jun 21 2026 11:36:34 GMT+0530 (India Standard Time),Sun Jun 21 2026 11:36:34 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,699,901,0,{},,prod_01KVMCKDHHQQPJZ72BHN5A5ETD,Oldest current record; this is a reporting suggestion only,,
lyuyhybuyhbb,prod_01KVMCN2V0YK5CRHYA4CH2CTR3,lyuyhybuyhbb,lyuyhybuyhbb-mqndx0t6,Sun Jun 21 2026 11:37:28 GMT+0530 (India Standard Time),Sun Jun 21 2026 11:37:28 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,699,901,0,{},,prod_01KVMCKDHHQQPJZ72BHN5A5ETD,Oldest current record; this is a reporting suggestion only,,
audit-test-product,prod_01KVMZD6RA9ZERDRXD6K77CYSV,Audit Test Product f275b8c1,audit-test-product-f275b8c1-mqnpmi83,Sun Jun 21 2026 17:05:13 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:05:13 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,,0,{},,prod_01KVMZD6RA9ZERDRXD6K77CYSV,Oldest current record; this is a reporting suggestion only,,
audit-test-product,prod_01KVMZXPRS2NH2BBQVHH9PXECN,Audit Test Product 88b24761,audit-test-product-88b24761-mqnpy3gh,Sun Jun 21 2026 17:14:14 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:14:14 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,,0,{},,prod_01KVMZD6RA9ZERDRXD6K77CYSV,Oldest current record; this is a reporting suggestion only,,
papaya,prod_01KVSPT0255E9PQS0FJZ94MPSR,Papaya,papaya-mqqc55q3,Tue Jun 23 2026 13:11:07 GMT+0530 (India Standard Time),Tue Jun 23 2026 13:11:07 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,699,,1,{},,prod_01KVSPT0255E9PQS0FJZ94MPSR,Oldest current record; this is a reporting suggestion only,,
papaya,prod_01KVSZH979HQY5NNJS0BCC8Y7Q,papaya,papaya-mqqhlb57,Tue Jun 23 2026 15:43:39 GMT+0530 (India Standard Time),Tue Jun 23 2026 15:43:39 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,600,,1,{},,prod_01KVSPT0255E9PQS0FJZ94MPSR,Oldest current record; this is a reporting suggestion only,,
pineapple,prod_01KVW0YM6H0HYPRV73MKDJZWDX,Pineapple,pineapple-mqrmfj25,Wed Jun 24 2026 10:46:53 GMT+0530 (India Standard Time),Wed Jun 24 2026 10:46:53 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,900,,1,{},,prod_01KVW0YM6H0HYPRV73MKDJZWDX,Oldest current record; this is a reporting suggestion only,,
pineapple,prod_01KVW221QD90ZE1Y069Z8VB2J4,Pineapple,pineapple-mqrn4er9,Wed Jun 24 2026 11:06:14 GMT+0530 (India Standard Time),Wed Jun 24 2026 11:06:14 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,700,,1,{},,prod_01KVW0YM6H0HYPRV73MKDJZWDX,Oldest current record; this is a reporting suggestion only,,
thekua,prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,Thekua,thekua-mqrpiime,Wed Jun 24 2026 12:13:12 GMT+0530 (India Standard Time),Wed Jun 24 2026 12:13:12 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,2000,,1,{},,prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,Oldest current record; this is a reporting suggestion only,,
thekua,prod_01KVWF8FG3R20YF227VBX4RJKS,Thekua,thekua-mqrvd3g1,Wed Jun 24 2026 14:56:56 GMT+0530 (India Standard Time),Wed Jun 24 2026 14:57:30 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,2000,,1,"{""vendor_id"":""01KVMDXWWVSKVKWSGJGTQ9VW6N"",""vendor_store_name"":""Organic Farm Store""}",,prod_01KVW5WN2X0EWHYJ4SGGCA7XNP,Oldest current record; this is a reporting suggestion only,,
e-book-gardening,prod_01KW1E8JX774PPRMQ88VN5GR9Q,E-Book Gardening 1782459943821,e-book-gardening-1782459943821-mqummmxt,Fri Jun 26 2026 13:15:43 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:15:43 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":40,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782459943841"",""size"":40,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
e-book-gardening,prod_01KW1ECW8TGFYJMNMV1NDF1RT7,E-Book Gardening 1782460084480,e-book-gardening-1782460084480-mqumpnh2,Fri Jun 26 2026 13:18:04 GMT+0530 (India Standard Time),Fri Jun 26 2026 13:18:04 GMT+0530 (India Standard Time),published,sc_01KVJF9HK0YY92JES8P7VPZN12,1,1999,2499,0,"{""version"":""1.0.0"",""file_name"":""gardening-tips.pdf"",""file_size"":40,""file_type"":""octet-stream"",""mime_type"":""application/octet-stream"",""is_digital"":true,""download_limit"":5,""download_assets"":[{""id"":""asset_1782460084502"",""size"":40,""version"":""1.0.0"",""filename"":""gardening-tips.pdf"",""mime_type"":""application/octet-stream""}],""license_required"":false,""download_expiry_days"":365}",,prod_01KW1E8JX774PPRMQ88VN5GR9Q,Oldest current record; this is a reporting suggestion only,,
