product_id,title,handle,status,sales_channel_membership,variant_ids,cad_price,usd_price,created_at,updated_at,likely_test_product,duplicate_group,recommended_action,approved_action
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVJF9J7VRDSRVXN2TPR5E5JS|variant_01KVJF9J7VCVRWX9QA6Y4Z7WNB|variant_01KVJF9J7VRVF2N11E0J6K2ETS|variant_01KVJF9J7VBMFJWM99HTYEE3KX,10|10|10|10,15|15|15|15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,keep,
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVJF9J7WMRTV8Z6YF9PXPMTB|variant_01KVJF9J7WQ2T5BPB02N3QYKBZ|variant_01KVJF9J7WPJ0J6KXS78K8B4AX|variant_01KVJF9J7WFCB21E58J9FSE50Q,10|10|10|10,15|15|15|15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,keep,
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVJF9J7TBTE05S8FBCXNTTGD|variant_01KVJF9J7TH3XVZSS7EASJNP2S|variant_01KVJF9J7TXJP70XZXEAQWVATX|variant_01KVJF9J7VH1FXQ845RECAFW8V,10|10|10|10,15|15|15|15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,keep,
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVJF9J7R77RDQYMEDJ0MF7TV|variant_01KVJF9J7S2NNS60SCPNBNK3YH|variant_01KVJF9J7SFPA1G7GAD3ZYPRM0|variant_01KVJF9J7SEH6FJ3VVX98B31M2|variant_01KVJF9J7S83CCMC5AAKBGVQNC|variant_01KVJF9J7S7ZQDN60WM8ACGRJF|variant_01KVJF9J7S66WB2FHYDA4WWVYK|variant_01KVJF9J7TE542K4A96JQMWSDA,10|10|10|10|10|10|10|10,15|15|15|15|15|15|15|15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,keep,
prod_01KVMCKDHHQQPJZ72BHN5A5ETD,lyuyhybuyhbb,lyuyhybuyhbb-mqndvup6,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMCKDKFZJWW29S963TVY186,699,901,Sun Jun 21 2026 11:36:34 GMT+0530 (India Standard Time),Sun Jun 21 2026 11:36:34 GMT+0530 (India Standard Time),no,lyuyhybuyhbb,merge manually,
prod_01KVMCN2V0YK5CRHYA4CH2CTR3,lyuyhybuyhbb,lyuyhybuyhbb-mqndx0t6,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMCN2VRXEM77SFC9PQQKMQ3,699,901,Sun Jun 21 2026 11:37:28 GMT+0530 (India Standard Time),Sun Jun 21 2026 11:37:28 GMT+0530 (India Standard Time),no,lyuyhybuyhbb,merge manually,
prod_01KVMKJ3951RGTQFDSA1F2Q30Z,Test Organic Honey,test-organic-honey,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMKJ3FGBYCJ3BSJWPV4CWB7,1499,,Sun Jun 21 2026 13:38:10 GMT+0530 (India Standard Time),Sun Jun 21 2026 13:38:10 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXSVV2MQJZ4RGRFKJ2QRRB,Audit Test Product mqnomg5v82uo,audit-test-product-mqnomg5v82uo-mqnomg67,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXSVWDHBKSDJZYZ9EHT4BR,1999,,Sun Jun 21 2026 16:37:11 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:37:11 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXSVYWX6TZ4TYYVZ4QTT9H,Audit Test Product 2 mqnomg9ca8cy,audit-test-product-2-mqnomg9ca8cy-mqnomg9m,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXSVZ9ZVFQGG7PBE2N3THN,2999,,Sun Jun 21 2026 16:37:11 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:37:11 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXVEKDRHZAK6BE1283RC6X,Audit Test Product mqnonk9qmk45,audit-test-product-mqnonk9qmk45-mqnonka0,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXVEM25NG59DC116AV6DXK,1999,,Sun Jun 21 2026 16:38:03 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:38:03 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXVENQX4E26B688BTMVXRA,Audit Test Product 2 mqnonkbwsjq0,audit-test-product-2-mqnonkbwsjq0-mqnonkc4,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXVEP81YCE2Y1MZX49M5M8,2999,,Sun Jun 21 2026 16:38:03 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:38:03 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXY7FF1D3Q0Z9DP55YE4Q2,Audit Test Product mqnopihsgq1s,audit-test-product-mqnopihsgq1s-mqnopii2,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXY7GGFPBFXZF1ZGTTKHVW,1999,,Sun Jun 21 2026 16:39:34 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:39:34 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMXY7JQWG9GKXQ0FVJXV162,Audit Test Product 2 mqnopikuj9ea,audit-test-product-2-mqnopikuj9ea-mqnopil0,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMXY7K3W3M5H6ZVWT6H8Q9E,2999,,Sun Jun 21 2026 16:39:34 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:39:34 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMY07ACZKKM7Z9HZECBJDR4,Audit Test Product mqnoqwxr36fh,audit-test-product-mqnoqwxr36fh-mqnoqwy0,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMY07B80Q6XZE981QY1BDRE,1999,,Sun Jun 21 2026 16:40:39 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:40:39 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMY07DCKF71HCY8P68QXYHY,Audit Test Product 2 mqnoqx0i97dr,audit-test-product-2-mqnoqx0i97dr-mqnoqx0p,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMY07DVT34AGYX8VVET8NSD,2999,,Sun Jun 21 2026 16:40:39 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:40:39 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMY1SDVZGHHZD071ADJX2CB,Audit Test Product mqnos0izqqe5,audit-test-product-mqnos0izqqe5-mqnos0ja,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMY1SET7G8MHE75B63NN560,1999,,Sun Jun 21 2026 16:41:30 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:41:30 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMY1SGXV49GMNKFNB35T713,Audit Test Product 2 mqnos0lumnu4,audit-test-product-2-mqnos0lumnu4-mqnos0m2,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMY1SHAB1108MZT8RVQN481,2999,,Sun Jun 21 2026 16:41:30 GMT+0530 (India Standard Time),Sun Jun 21 2026 16:41:30 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMZD6RA9ZERDRXD6K77CYSV,Audit Test Product f275b8c1,audit-test-product-f275b8c1-mqnpmi83,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMZD705KNMDMF3K04F4C7RN,1999,,Sun Jun 21 2026 17:05:13 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:05:13 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,audit-test-product,remove from sales channel,
prod_01KVMZH80DYPEHBAGWRAH68ASH,Test Product 62c6c1fc,test-product-62c6c1fc-mqnppce1,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMZH82PVD9AVD9VFB1S49QN,1999,,Sun Jun 21 2026 17:07:25 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:07:25 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVMZXPRS2NH2BBQVHH9PXECN,Audit Test Product 88b24761,audit-test-product-88b24761-mqnpy3gh,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVMZXPY2HXVJ5XVCZHEYW67H,1999,,Sun Jun 21 2026 17:14:14 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:14:14 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,audit-test-product,remove from sales channel,
prod_01KVN02PJ0TEWPZ721K4BC6XT7,Final 1782042414,final-1782042414-mqnq1lpn,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVN02PMQNA2VAB5Z7RZ4HW9X,1999,,Sun Jun 21 2026 17:16:57 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:16:57 GMT+0530 (India Standard Time),yes: TEST_DATA; Product was generated during automated E2E tests or QA smoke tests.,,remove from sales channel,
prod_01KVN0BQ3GQD64A562FYTW3E62,Debug mqnq7xl0f0gw,debug-mqnq7xl0f0gw-mqnq7xmu,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVN0BQDBC897PZTFRQ2P6HDP,1999,,Sun Jun 21 2026 17:21:53 GMT+0530 (India Standard Time),Sun Jun 21 2026 17:21:53 GMT+0530 (India Standard Time),yes: DEBUG_DATA; Title indicates temporary developer debug data.,,remove from sales channel,
prod_01KVSFB71XDNGFJN01RH3C2G1M,Organic Apples,organic-apples,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,499,,Tue Jun 23 2026 11:00:43 GMT+0530 (India Standard Time),Tue Jun 23 2026 11:00:43 GMT+0530 (India Standard Time),no,,keep,
prod_01KVSFB7BAX6R5GFXKKCC4CYHX,Fresh Bananas,fresh-bananas,published,sc_01KVJF9HK0YY92JES8P7VPZN12,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,299,,Tue Jun 23 2026 11:00:43 GMT+0530 (India Standard Time),Tue Jun 23 2026 11:00:43 GMT+0530 (India Standard Time),no,,keep,
