product_id,product_title,product_status,product_type,variant_id,variant_title,sku,existing_barcode,existing_ean,existing_upc,inventory_item_id,pos_sales_channel_linked,classification,suggested_internal_barcode,approved_action,approved_barcode,notes
"prod_01KWPZ751172E2TJGVJD9KNTKA","1 st product","published","Digital Product","variant_01KWPZ751Z4X6NS0CQGPY3YS9N","Digital Download","DIGITAL-MR6KQN8A","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ1KPJ353283BZV8W23TE03","2nd book","published","Digital Product","variant_01KWQ1KPM3PSW0M8R6VD1SR9G1","Digital Download","DIGITAL-MR6M8ENL","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWQ1NW3DSVAZ40HWKGZ3G8ZG","3rd book","published","Digital Product","variant_01KWQ1NW4DCTQZMDVYQJSSJ1PN","Digital Download","DIGITAL-MR6M9XLW","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHZN4Q2FW2Z78K1SG8SGD4E","abcd","published","Digital Product","variant_01KWHZN4S3PZZGADF85XSCYAG4","Digital Download","DIGITAL-1783015051996","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWMDFGBBCVK7DC7K1JZCMTJM","abcdefg","published","Digital Product","variant_01KWMDFGDF085SGFC0E8A8CAF4","Digital Download","DIGITAL-MR55PLCV","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWHV6ZPSQJ28CN6X8T3JE4BA","anaana","published","Digital Product","variant_01KWHV6ZRNCK5WTHEX10JPM6FZ","Digital Download","DIGITAL-1783010393804","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXSVYWX6TZ4TYYVZ4QTT9H","Audit Test Product 2 mqnomg9ca8cy","published","","variant_01KVMXSVZ9ZVFQGG7PBE2N3THN","Standard","","","","","iitem_01KVMXSVZHMTPBJ7KH4TXB3E2R","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXVENQX4E26B688BTMVXRA","Audit Test Product 2 mqnonkbwsjq0","published","","variant_01KVMXVEP81YCE2Y1MZX49M5M8","Standard","","","","","iitem_01KVMXVEPDH4HSDFTF89SC729G","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXY7JQWG9GKXQ0FVJXV162","Audit Test Product 2 mqnopikuj9ea","published","","variant_01KVMXY7K3W3M5H6ZVWT6H8Q9E","Standard","","","","","iitem_01KVMXY7KACPRGB7KHAFH79970","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMY07DCKF71HCY8P68QXYHY","Audit Test Product 2 mqnoqx0i97dr","published","","variant_01KVMY07DVT34AGYX8VVET8NSD","Standard","","","","","iitem_01KVMY07E209AZPTTWFSMGVDTM","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMY1SGXV49GMNKFNB35T713","Audit Test Product 2 mqnos0lumnu4","published","","variant_01KVMY1SHAB1108MZT8RVQN481","Standard","","","","","iitem_01KVMY1SHGK4DYWERD874RFDPM","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMZXPRS2NH2BBQVHH9PXECN","Audit Test Product 88b24761","published","","variant_01KVMZXPY2HXVJ5XVCZHEYW67H","Standard","","","","","iitem_01KVMZXPZW76ENQGVG6X3PTKWB","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMZD6RA9ZERDRXD6K77CYSV","Audit Test Product f275b8c1","published","","variant_01KVMZD705KNMDMF3K04F4C7RN","Standard","","","","","iitem_01KVMZD72DMW0B7E0P29KMX4S1","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXSVV2MQJZ4RGRFKJ2QRRB","Audit Test Product mqnomg5v82uo","published","","variant_01KVMXSVWDHBKSDJZYZ9EHT4BR","Standard","","","","","iitem_01KVMXSVWRPG970VTVXD23693J","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXVEKDRHZAK6BE1283RC6X","Audit Test Product mqnonk9qmk45","published","","variant_01KVMXVEM25NG59DC116AV6DXK","Standard","","","","","iitem_01KVMXVEMBJG9H7W0DYX73BJE1","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMXY7FF1D3Q0Z9DP55YE4Q2","Audit Test Product mqnopihsgq1s","published","","variant_01KVMXY7GGFPBFXZF1ZGTTKHVW","Standard","","","","","iitem_01KVMXY7GYFKGP5TXSJVNG6WZN","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMY07ACZKKM7Z9HZECBJDR4","Audit Test Product mqnoqwxr36fh","published","","variant_01KVMY07B80Q6XZE981QY1BDRE","Standard","","","","","iitem_01KVMY07BKRC8HBRXJR73H3RN2","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVMY1SDVZGHHZD071ADJX2CB","Audit Test Product mqnos0izqqe5","published","","variant_01KVMY1SET7G8MHE75B63NN560","Standard","","","","","iitem_01KVMY1SF5ERRTY56Z3GAGP0CD","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8WPTXN2GCYBZ5XH4RH6","Beef Steak","published","","variant_01KVSFB8X9WW94FBJDVM4J4VFH","Standard","EATSIE-BEEF-STEAK","","","","iitem_01KVSFB8XJDRE2MZNZPFRKQY4D","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1F8RMWZKTTK52HN4FGZECF","Browser Test E-Book","published","","variant_01KW1F8RSX1ZC03K0F9PFNAWVS","Default variant","","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EJCF2XZQGH3DDYWG8EBQW","CAD-Only 1782460264907","published","","variant_01KW1EJCG4JQN437Y6ZM7N3TCH","Digital Download","DIGITAL-1782460264925","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EP9QW8QGBDZZ9Y30DBVSZ","CAD-Only 1782460393194","published","","variant_01KW1EP9RWPPB3SB8E8GNZMN30","Digital Download","DIGITAL-1782460393210","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KW1EYPBAY3JCH8A9K6YHBQJP","CAD-Only 1782460668244","published","","variant_01KW1EYPC56TGZDNJVS8N2DZ8A","Digital Download","DIGITAL-1782460668262","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB87RKDRSY8HR988M0Z9K","Cheddar Cheese","published","","variant_01KVSFB88CG0FGKBQTG2KNBZE8","Standard","EATSIE-CHEDDAR-CHEESE","","","","iitem_01KVSFB88NREKKQCY65BK4Z72K","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8QBJ9M95V6E0DFZWHBV","Chicken Breast","published","","variant_01KVSFB8R0M148Z5PHK7597K2E","Standard","EATSIE-CHICKEN-BREAST","","","","iitem_01KVSFB8R61QVXQ803HBPFS0MZ","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8YFCM952E63E8F4955Z","Chicken Sausages","published","","variant_01KVSFB8Z51WWP1W03QSDBY8N3","Standard","EATSIE-CHICKEN-SAUSAGES","","","","iitem_01KVSFB8ZGB9VBXAC6HDVZMG8H","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KXJNH57CMPRBEVGSAMB30EMF","chocolate","published","","variant_01KXJNH5ASR8XNZ9QSW29B8SJ7","Standard","VENDOR-mrly26sn-1","999999999","","","iitem_01KXJNH5BSHCM5PZ4K8V4ZXMY6","true","BARCODE_PRESENT","","","",""
"prod_01KWM9YN6TNEY78DPM0JAQ5ZY7","Codex Digital Upload Verification","published","Digital Product","variant_01KWM9YN9Z155T8HNJQ96YBQHZ","Digital Download","DIGITAL-MR53IC40","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWMAM00WTB7B5P6AJ799RYTC","Codex Digital Upload Verification","published","Digital Product","variant_01KWMAM042JP42Y1AX94QRR9V7","Digital Download","DIGITAL-MR53XBMA","","","","","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB9B2AF16KR0X5JE0C3WV","Crab Meat","published","","variant_01KVSFB9C5W5C0347WGB5RNS4Y","Standard","EATSIE-CRAB-MEAT","","","","iitem_01KVSFB9CHB28PNPTWWT648WCS","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KVSFB8GJWSH1JMXG0XPG2F6N","Croissant","published","","variant_01KVSFB8HDHXQHA4PKSS9PQ89A","Standard","EATSIE-CROISSANT","","","","iitem_01KVSFB8HQ7H2Q6NJS9D1EHDBF","false","NOT_POS_ELIGIBLE","","","",""
"prod_01KWRHFTGWT5PPPV6PDDKGM3AJ","Currency Test Digital Book 1783235078447","published","Digital Product","variant_01KWRHFTJZB5XNQH3E5MMDR8DM","Default","DIGITAL-MR7G4GSZ","","","","","false","NOT_POS_ELIGIBLE","","","",""
