priority,product_id,product_handle,product_title,variant_id,variant_title,current_cad_price,approved_cad_price,current_usd_price,approved_usd_price,cad_issue,usd_issue,approval_status,merchant_note
2,prod_01KVSFB71XDNGFJN01RH3C2G1M,organic-apples,Organic Apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,4.99,4.99,3.99,3.99,none,none,approved,Testing approved CAD and USD price
1,prod_01KVSFB7BAX6R5GFXKKCC4CYHX,fresh-bananas,Fresh Bananas,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,Standard,299,,,,none,missing,pending,
1,prod_01KVSFB7DRWS2W3RZ6PEWEJV29,red-strawberries,Red Strawberries,variant_01KVSFB7EKARSRMJ14F2T30WPN,Standard,699,,,,none,missing,pending,
1,prod_01KVSFB7FQRQPT7HHHQTS0D9QA,green-grapes,Green Grapes,variant_01KVSFB7GDJ405F2JQJ8A68700,Standard,599,,,,none,missing,pending,
1,prod_01KVSFB7HK2723G4QTVR3DBP0S,sweet-mangoes,Sweet Mangoes,variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW,Standard,799,,,,none,missing,pending,
1,prod_01KVSFB7KH3MAADTC8FXDNB7K9,organic-carrots,Organic Carrots,variant_01KVSFB7M7DJ2NQP1MRFC161ZP,Standard,399,,,,none,missing,pending,
1,prod_01KVSFB7NFW3HA28BEMYCHVFRJ,fresh-broccoli,Fresh Broccoli,variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX,Standard,449,,,,none,missing,pending,
1,prod_01KVSFB7REXCQRQ06W82C4610V,green-spinach,Green Spinach,variant_01KVSFB7SC8G5X8ZGN2TAPHTPG,Standard,499,,,,none,missing,pending,
1,prod_01KVSFB7VJMJVD821ZFVYN9FWV,red-tomatoes,Red Tomatoes,variant_01KVSFB7WSVC6Y3C0E24ZSP890,Standard,399,,,,none,missing,pending,
1,prod_01KVSFB7Z7ZARK3KPZCNNGCFN8,organic-potatoes,Organic Potatoes,variant_01KVSFB80MDTP8T8R6Z7GB0CQN,Standard,549,,,,none,missing,pending,
1,prod_01KVSFB82HYD8N48WG7XQGKWBW,organic-milk,Organic Milk,variant_01KVSFB83K91ZD462YSQSFPK8C,Standard,649,,,,none,missing,pending,
1,prod_01KVSFB85A4E8Z4E4F7ZX8E2SW,greek-yogurt,Greek Yogurt,variant_01KVSFB86BTEA7ZEZ2M01STJYG,Standard,599,,,,none,missing,pending,
1,prod_01KVSFB87RKDRSY8HR988M0Z9K,cheddar-cheese,Cheddar Cheese,variant_01KVSFB88CG0FGKBQTG2KNBZE8,Standard,799,,,,none,missing,pending,
1,prod_01KVSFB8A3QK5WZV03MTMEAHPD,fresh-butter,Fresh Butter,variant_01KVSFB8B6VM0SCQ8NFQZRC239,Standard,549,,,,none,missing,pending,
1,prod_01KVSFB8CFN04MJA0CDQ8Y3QZX,paneer-block,Paneer Block,variant_01KVSFB8D6X5V3ZFD2N7NXRYY5,Standard,699,,,,none,missing,pending,
1,prod_01KVSFB8ENFV01KZE8AYE46CJB,whole-wheat-bread,Whole Wheat Bread,variant_01KVSFB8FGBH5QYY47W48PZY7B,Standard,499,,,,none,missing,pending,
1,prod_01KVSFB8GJWSH1JMXG0XPG2F6N,croissant,Croissant,variant_01KVSFB8HDHXQHA4PKSS9PQ89A,Standard,349,,,,none,missing,pending,
1,prod_01KVSFB8JPGQQ7QE235C4QDZX0,sourdough-loaf,Sourdough Loaf,variant_01KVSFB8K8SQ0PERBD5HNEJE6M,Standard,699,,,,none,missing,pending,
1,prod_01KVSFB8M7AVMZ6888SSSYQE5K,muffins-pack,Muffins Pack,variant_01KVSFB8MVTVENGRRVN6V61TQN,Standard,899,,,,none,missing,pending,
1,prod_01KVSFB8NSZ67XN9G17BJJ1W38,organic-cookies,Organic Cookies,variant_01KVSFB8PAKFQGF5B8VM9DCSFJ,Standard,649,,,,none,missing,pending,
1,prod_01KVSFB8QBJ9M95V6E0DFZWHBV,chicken-breast,Chicken Breast,variant_01KVSFB8R0M148Z5PHK7597K2E,Standard,1299,,,,unusually_large,missing,pending,
1,prod_01KVSFB8S2F4YXNV9BAKSNB9M2,lamb-chops,Lamb Chops,variant_01KVSFB8STSXDM303M3W7B1C6A,Standard,1899,,,,unusually_large,missing,pending,
1,prod_01KVSFB8V27PTZ08274047AXD9,turkey-slices,Turkey Slices,variant_01KVSFB8VPBD68YJKXTHQMNQ8W,Standard,1099,,,,unusually_large,missing,pending,
