product_id,product_handle,product_title,product_status,sales_channel_ids,product_type,variant_count,first_variant_id,first_variant_title,first_variant_sku,first_variant_price_set_id,first_variant_usd_amount,first_variant_calculated_currency,first_variant_calculated_amount,inventory_available,storefront_visible,primary_classification,secondary_flags,frontend_included
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,sweatpants,Medusa Sweatpants,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,4,variant_01KVJF9J7VRDSRVXN2TPR5E5JS,S,SWEATPANTS-S,pset_01KVJF9JA9NNYB3NBSSRT28M63,15,usd,15,true,true,visibleWithValidUsdPrice,,true
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,shorts,Medusa Shorts,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,4,variant_01KVJF9J7WMRTV8Z6YF9PXPMTB,S,SHORTS-S,pset_01KVJF9JAAJDJVMSVFAW4AHGKW,15,usd,15,true,true,visibleWithValidUsdPrice,,true
prod_01KVJF9J4RKC61HMGV5BMRNXN3,sweatshirt,Medusa Sweatshirt,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,4,variant_01KVJF9J7TBTE05S8FBCXNTTGD,S,SWEATSHIRT-S,pset_01KVJF9JA85TW5E1FW10FZ1QNG,15,usd,15,true,true,visibleWithValidUsdPrice,,true
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,t-shirt,Medusa T-Shirt,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,8,variant_01KVJF9J7R77RDQYMEDJ0MF7TV,S / Black,SHIRT-S-BLACK,pset_01KVJF9JA5MP2DD76P4Z1GCSM3,15,usd,15,true,true,visibleWithValidUsdPrice,,true
prod_01KVMCKDHHQQPJZ72BHN5A5ETD,lyuyhybuyhbb-mqndvup6,lyuyhybuyhbb,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMCKDKFZJWW29S963TVY186,Digital Download,DIGITAL-1782021994027,pset_01KVMCKDM6BQPPAJGEQBFGJ4MX,901,usd,901,true,true,visibleWithValidUsdPrice,,true
prod_01KVMCN2V0YK5CRHYA4CH2CTR3,lyuyhybuyhbb-mqndx0t6,lyuyhybuyhbb,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMCN2VRXEM77SFC9PQQKMQ3,Digital Download,DIGITAL-1782022048603,pset_01KVMCN2W7YSH2MVM0DB3GX5Q3,901,usd,901,true,true,visibleWithValidUsdPrice,,true
prod_01KVMKJ3951RGTQFDSA1F2Q30Z,test-organic-honey,Test Organic Honey,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMKJ3FGBYCJ3BSJWPV4CWB7,Standard,,pset_01KVMKJ3K0ASXMVGX324HWMFSJ,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMXSVV2MQJZ4RGRFKJ2QRRB,audit-test-product-mqnomg5v82uo-mqnomg67,Audit Test Product mqnomg5v82uo,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXSVWDHBKSDJZYZ9EHT4BR,Standard,,pset_01KVMXSVX8B7S2XGJ4YF1C0EHE,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMXSVYWX6TZ4TYYVZ4QTT9H,audit-test-product-2-mqnomg9ca8cy-mqnomg9m,Audit Test Product 2 mqnomg9ca8cy,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXSVZ9ZVFQGG7PBE2N3THN,Standard,,pset_01KVMXSVZTS20DM0FS2EEM9JKN,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
prod_01KVMXVEKDRHZAK6BE1283RC6X,audit-test-product-mqnonk9qmk45-mqnonka0,Audit Test Product mqnonk9qmk45,published,sc_01KVJF9HK0YY92JES8P7VPZN12,,1,variant_01KVMXVEM25NG59DC116AV6DXK,Standard,,pset_01KVMXVEMP849V3SK8DHB79ECY,,,,true,false,storefrontClassificationExcluded,storefront_test_or_debug|first_variant_missing_usd_amount|first_variant_missing_valid_usd_calculated_price,false
