product_id,product_handle,product_title,variant_id,variant_title,sku,current_cad_amount,proposed_usd_amount,review_status,notes
prod_01KVN02PJ0TEWPZ721K4BC6XT7,final-1782042414-mqnq1lpn,Final 1782042414,variant_01KVN02PMQNA2VAB5Z7RZ4HW9X,Standard,,1999,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7BAX6R5GFXKKCC4CYHX,fresh-bananas,Fresh Bananas,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,Standard,EATSIE-FRESH-BANANAS,299,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7DRWS2W3RZ6PEWEJV29,red-strawberries,Red Strawberries,variant_01KVSFB7EKARSRMJ14F2T30WPN,Standard,EATSIE-RED-STRAWBERRIES,699,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7FQRQPT7HHHQTS0D9QA,green-grapes,Green Grapes,variant_01KVSFB7GDJ405F2JQJ8A68700,Standard,EATSIE-GREEN-GRAPES,599,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7HK2723G4QTVR3DBP0S,sweet-mangoes,Sweet Mangoes,variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW,Standard,EATSIE-SWEET-MANGOES,799,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7KH3MAADTC8FXDNB7K9,organic-carrots,Organic Carrots,variant_01KVSFB7M7DJ2NQP1MRFC161ZP,Standard,EATSIE-ORGANIC-CARROTS,399,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7NFW3HA28BEMYCHVFRJ,fresh-broccoli,Fresh Broccoli,variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX,Standard,EATSIE-FRESH-BROCCOLI,449,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7REXCQRQ06W82C4610V,green-spinach,Green Spinach,variant_01KVSFB7SC8G5X8ZGN2TAPHTPG,Standard,EATSIE-GREEN-SPINACH,499,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7VJMJVD821ZFVYN9FWV,red-tomatoes,Red Tomatoes,variant_01KVSFB7WSVC6Y3C0E24ZSP890,Standard,EATSIE-RED-TOMATOES,399,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB7Z7ZARK3KPZCNNGCFN8,organic-potatoes,Organic Potatoes,variant_01KVSFB80MDTP8T8R6Z7GB0CQN,Standard,EATSIE-ORGANIC-POTATOES,549,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB82HYD8N48WG7XQGKWBW,organic-milk,Organic Milk,variant_01KVSFB83K91ZD462YSQSFPK8C,Standard,EATSIE-ORGANIC-MILK,649,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB85A4E8Z4E4F7ZX8E2SW,greek-yogurt,Greek Yogurt,variant_01KVSFB86BTEA7ZEZ2M01STJYG,Standard,EATSIE-GREEK-YOGURT,599,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB87RKDRSY8HR988M0Z9K,cheddar-cheese,Cheddar Cheese,variant_01KVSFB88CG0FGKBQTG2KNBZE8,Standard,EATSIE-CHEDDAR-CHEESE,799,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8A3QK5WZV03MTMEAHPD,fresh-butter,Fresh Butter,variant_01KVSFB8B6VM0SCQ8NFQZRC239,Standard,EATSIE-FRESH-BUTTER,549,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8CFN04MJA0CDQ8Y3QZX,paneer-block,Paneer Block,variant_01KVSFB8D6X5V3ZFD2N7NXRYY5,Standard,EATSIE-PANEER-BLOCK,699,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8ENFV01KZE8AYE46CJB,whole-wheat-bread,Whole Wheat Bread,variant_01KVSFB8FGBH5QYY47W48PZY7B,Standard,EATSIE-WHOLE-WHEAT-BREAD,499,,NEEDS_REVIEW,Merchant USD price required
prod_01KVSFB8GJWSH1JMXG0XPG2F6N,croissant,Croissant,variant_01KVSFB8HDHXQHA4PKSS9PQ89A,Standard,EATSIE-CROISSANT,349,,NEEDS_REVIEW,Merchant USD price required
